Nodes
ID,Title,X,Y,Z,Type
132,Diagonal Bar 132 - Shaft 2,52,40,Diagonal Bar,angle,L40x40x4,S355,Yes,0,X-Bracing,yes,yes
133,Horizontal Bar 133 - Shaft 2,37,38,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
134,Horizontal Bar 134 - Shaft 2,38,39,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
135,Horizontal Bar 135 - Shaft 2,39,40,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
136,Horizontal Bar 136 - Shaft 2,40,37,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
137,Horizontal Bar 137 - Shaft 2,29,30,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
138,Horizontal Bar 138 - Shaft 2,30,31,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
139,Horizontal Bar 139 - Shaft 2,31,32,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
140,Horizontal Bar 140 - Shaft 2,32,29,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
141,Horizontal Bar 141 - Shaft 2,33,34,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
142,Horizontal Bar 142 - Shaft 2,34,35,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
143,Horizontal Bar 143 - Shaft 2,35,36,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
144,Horizontal Bar 144 - Shaft 2,36,33,Horizontal Bar,angle,L48x48x8,S235,Yes,0,X-Bracing,yes,yes
145,Leg 145 - Shaft 3,37,53,Leg,pipe,Ø 138x1,S235,0,0,X-Bracing,yes,yes
146,Leg 146 - Shaft 3,38,54,Leg,pipe,Ø 138x1,S235,0,0,X-Bracing,yes,yes
